# Created by Octave 3.8.1, Tue Mar 07 17:05:35 2017 CET <moi@Nemesis>
# name: relation
# type: complex matrix
# rows: 301
# columns: 7
 (400,0) (0.01795152359880655,0.0005725627751865218) (0.02129244579442197,0.0005284487782846394) (0.02397540470227723,0.0004860911329740452) (0.02612314586495642,0.0004552753981419588) (0.03017009050187437,0.0004058564909660837) (0.03128183717819237,0.0003940685078925803)
 (401.3333333333333,0) (0.01779130363157906,0.000570693106076588) (0.02114840832950526,0.0005277267657711242) (0.023844192924694,0.0004851690689150795) (0.02600093085311045,0.0004541926706241879) (0.03006199032370833,0.0004045845903371137) (0.03117706300246252,0.0003927670584384418)
 (402.6666666666667,0) (0.01763186235485999,0.0005686706836572731) (0.02100498524264578,0.0005270097543674098) (0.02371363831286752,0.0004842561846874207) (0.02587939702094526,0.0004531188300130357) (0.0299545837552489,0.0004033212699109407) (0.0310729804456247,0.0003914742396771685)
 (404,0) (0.01747321885461624,0.0005664760928870033) (0.0208621699667535,0.0005262972693222097) (0.02358373382669853,0.0004833523725924408) (0.0257585374368803,0.0004520537896774797) (0.02984786394792855,0.0004020664442419331) (0.0309695826631479,0.0003901899660849751)
 (405.3333333333333,0) (0.01731539518928115,0.000564087083467513) (0.02071995608337735,0.0005255888110513363) (0.02345447251873415,0.0004824575248134694) (0.02563834525954059,0.0004509974640067275) (0.02974182414324885,0.0004008200290092461) (0.03086686290055627,0.0003889141532635506)
 (406.6666666666667,0) (0.0171584167309766,0.0005614780399327464) (0.02057833732523711,0.0005248838532675611) (0.02332584753284968,0.0004815715333424238) (0.02551881373629132,0.0004499497683885274) (0.03034596965997667,0.0003919920209550644) (0.03090332500912798,0.00038623122341197)
 (408,0) (0.01700231254721848,0.0005586193288442589) (0.02043730757907312,0.0005241818409587816) (0.02319785210296692,0.0004806942899036944) (0.02539993620179914,0.0004489106191878938) (0.0302433803317586,0.0003907428125605662) (0.03066343085857176,0.0003863875778567895)
 (409.3333333333333,0) (0.01684711582454561,0.000555476488950806) (0.0202968608888284,0.0005234821882000603) (0.02307047955180954,0.0004798256858764366) (0.025281706076625,0.0004478799337260503) (0.03014145022200962,0.0003895017952511029) (0.03056270550736006,0.0003851366519379438)
 (410.6666666666667,0) (0.01669286433272382,0.0005520092192227195) (0.02015699145919189,0.0005227842757837929) (0.02294372328969259,0.0004789656122134836) (0.02516411686584193,0.0004468576302595052) (0.03004017292075758,0.0003882688889848362) (0.03060231859670153,0.0003824692309761386)
 (412,0) (0.01653960092301571,0.0005481701048476938) (0.02001769365952881,0.000522087448648995) (0.02281757681334899,0.00047811395935796) (0.02681416682485699,0.0004227598921399119) (0.02993954210099051,0.0003870440147565434) (0.03036320409947129,0.0003826591232655659)
